option,value
name,
date,220416
time,095205
seed,2022
selected_date,2019-10-01
selected_hour,16
selected_od_periods,[]
mean_counts,2213.6
mean_counts_prediction_loss,101141667.7
equilikely_prediction_loss,279378072.3
theta_norefined,"{'tt': -1.0819102408494343, 'speed_sd': 0.0, 'incidents': -1.3290626306038071, 'median_inc': 0.24869227679001088, 'bus_stops': 0.0, 'intersections': 0.0}"
theta_refined,"{'tt': -1.9040590788093792, 'incidents': -2.409231100047592, 'median_inc': 0.8641445332478571}"
best_objective_norefined,184820618.0
best_objective_refined,168917572.7
network,Fresno
links,2413
paths,27130
ods,6970
scale_OD,1
features,"['tt', 'incidents', 'median_inc']"
initial parameters,"{'tt': -1.0819102408494343, 'incidents': -1.3290626306038071, 'median_inc': 0.24869227679001088}"
true parameters,"{'tt': None, 'incidents': None, 'median_inc': None}"
norefined_learner,{'bilevel_iters': None}
norefined_optimizer,"{'iters': 1, 'eta': 0.5}"
norefined_equilibrator,"{'uncongested_mode': False, 'exogenous_traveltimes': False, 'max_iters': 100, 'accuracy': 0.0001, 'method': 'fw', 'iters_fw': 10, 'search_fw': 'grid', 'column_generation': {'n_paths': 40, 'paths_selection': 10, 'dissimilarity_weight': 0, 'ods_coverage': 0.3, 'ods_sampling': 'sequential', 'iter_ods_sampling': 0}, 'path_size_correction': 1}"
refined_learner,{'bilevel_iters': None}
refined_optimizer,{'iters': 1}
refined_equilibrator,"{'uncongested_mode': False, 'exogenous_traveltimes': False, 'max_iters': 100, 'accuracy': 0.0001, 'method': 'fw', 'iters_fw': 10, 'search_fw': 'grid', 'column_generation': {'n_paths': 40, 'paths_selection': 10, 'dissimilarity_weight': 0, 'ods_coverage': 0.3, 'ods_sampling': 'sequential', 'iter_ods_sampling': 0}, 'path_size_correction': 1}"
