option,value
name,
date,220416
time,121906
seed,2022
selected_date,2020-10-06
selected_hour,16
selected_od_periods,[]
mean_counts,2113.3
mean_counts_prediction_loss,97166470.8
equilikely_prediction_loss,273472708.3
theta_norefined,"{'tt': -0.36384689222734545, 'reliable_speed': 0.0, 'incident': -0.454175919844539, 'bus_stop': -0.20163232442172335, 'intersection': 0.0, 'low_inc': 0.0}"
theta_refined,"{'tt': -0.4576272951306204, 'incident': -0.2487498991604978, 'bus_stop': 0.0}"
best_objective_norefined,191471565.1
best_objective_refined,178166886.3
network,Fresno
links,2413
paths,27130
ods,6970
scale_OD,0.9546848683155684
features,"['tt', 'incident', 'bus_stop']"
initial parameters,"{'tt': -0.36384689222734545, 'incident': -0.454175919844539, 'bus_stop': -0.20163232442172335}"
true parameters,"{'tt': None, 'incident': None, 'bus_stop': None}"
norefined_learner,{'bilevel_iters': None}
norefined_optimizer,"{'iters': 1, 'eta': 0.5}"
norefined_equilibrator,"{'uncongested_mode': False, 'exogenous_traveltimes': False, 'max_iters': 100, 'accuracy': 0.0001, 'method': 'fw', 'iters_fw': 10, 'search_fw': 'grid', 'column_generation': {'n_paths': 40, 'paths_selection': 10, 'dissimilarity_weight': 0, 'ods_coverage': 0.3, 'ods_sampling': 'sequential', 'iter_ods_sampling': 0}, 'path_size_correction': 1}"
refined_learner,{'bilevel_iters': None}
refined_optimizer,{'iters': 1}
refined_equilibrator,"{'uncongested_mode': False, 'exogenous_traveltimes': False, 'max_iters': 100, 'accuracy': 0.0001, 'method': 'fw', 'iters_fw': 10, 'search_fw': 'grid', 'column_generation': {'n_paths': 40, 'paths_selection': 10, 'dissimilarity_weight': 0, 'ods_coverage': 0.3, 'ods_sampling': 'sequential', 'iter_ods_sampling': 0}, 'path_size_correction': 1}"
