option,value
name,
date,220413
time,195924
seed,2022
selected_date,2019-10-01
selected_hour,16
selected_od_periods,[]
mean_counts,2213.6
mean_counts_prediction_loss,101141667.7
equilikely_prediction_loss,279378072.3
theta_norefined,"{'tt': -1.2196492403784336, 'speed_sd': 0.0, 'incidents': -1.1150719630917394, 'median_inc': 0.22045081811783693, 'bus_stops': 0.0, 'intersections': -0.20438814558735205}"
theta_refined,"{'tt': -1.8238387903920745, 'incidents': -2.594886850887733, 'median_inc': 0.5252695205401636, 'intersections': 0.0}"
best_objective_norefined,189394142.3
best_objective_refined,180474186.2
network,Fresno
links,2413
paths,18289
ods,6970
scale_OD,1
features,"['tt', 'incidents', 'median_inc', 'intersections']"
initial parameters,"{'tt': -1.2196492403784336, 'incidents': -1.1150719630917394, 'median_inc': 0.22045081811783693, 'intersections': -0.20438814558735205}"
true parameters,"{'tt': None, 'incidents': None, 'median_inc': None, 'intersections': None}"
norefined_learner,{'bilevel_iters': None}
norefined_optimizer,"{'iters': 1, 'eta': 0.5}"
norefined_equilibrator,"{'uncongested_mode': False, 'exogenous_traveltimes': False, 'max_iters': 100, 'accuracy': 0.0001, 'method': 'fw', 'iters_fw': 10, 'search_fw': 'grid', 'column_generation': {'n_paths': 24, 'paths_selection': 6, 'dissimilarity_weight': 0, 'ods_coverage': 0.2, 'ods_sampling': 'sequential', 'iter_ods_sampling': 0}, 'path_size_correction': 3}"
refined_learner,{'bilevel_iters': None}
refined_optimizer,{'iters': 1}
refined_equilibrator,"{'uncongested_mode': False, 'exogenous_traveltimes': False, 'max_iters': 100, 'accuracy': 0.0001, 'method': 'fw', 'iters_fw': 10, 'search_fw': 'grid', 'column_generation': {'n_paths': 24, 'paths_selection': 6, 'dissimilarity_weight': 0, 'ods_coverage': 0.2, 'ods_sampling': 'sequential', 'iter_ods_sampling': 0}, 'path_size_correction': 3}"
