option,value
name,
date,220416
time,120815
seed,2022
selected_date,2019-10-01
selected_hour,16
selected_od_periods,[]
mean_counts,2213.6
mean_counts_prediction_loss,101141667.7
equilikely_prediction_loss,279378072.3
theta_norefined,"{'tt': -0.6303779936381507, 'reliable_speed': 0.0, 'incident': -0.36031749481570224, 'bus_stop': -0.17135288045462782, 'intersection': 0.0, 'low_inc': 0.0}"
theta_refined,"{'tt': -0.7601479102440921, 'incident': -0.11849566734075834, 'bus_stop': 0.0}"
best_objective_norefined,196994627.6
best_objective_refined,186985714.3
network,Fresno
links,2413
paths,27130
ods,6970
scale_OD,1
features,"['tt', 'incident', 'bus_stop']"
initial parameters,"{'tt': -0.6303779936381507, 'incident': -0.36031749481570224, 'bus_stop': -0.17135288045462782}"
true parameters,"{'tt': None, 'incident': None, 'bus_stop': None}"
norefined_learner,{'bilevel_iters': None}
norefined_optimizer,"{'iters': 1, 'eta': 0.5}"
norefined_equilibrator,"{'uncongested_mode': False, 'exogenous_traveltimes': False, 'max_iters': 100, 'accuracy': 0.0001, 'method': 'fw', 'iters_fw': 10, 'search_fw': 'grid', 'column_generation': {'n_paths': 40, 'paths_selection': 10, 'dissimilarity_weight': 0, 'ods_coverage': 0.3, 'ods_sampling': 'sequential', 'iter_ods_sampling': 0}, 'path_size_correction': 1}"
refined_learner,{'bilevel_iters': None}
refined_optimizer,{'iters': 1}
refined_equilibrator,"{'uncongested_mode': False, 'exogenous_traveltimes': False, 'max_iters': 100, 'accuracy': 0.0001, 'method': 'fw', 'iters_fw': 10, 'search_fw': 'grid', 'column_generation': {'n_paths': 40, 'paths_selection': 10, 'dissimilarity_weight': 0, 'ods_coverage': 0.3, 'ods_sampling': 'sequential', 'iter_ods_sampling': 0}, 'path_size_correction': 1}"
